id	poem	meter	class	author	genre	satakam	satakam_te	meter_source	meter_confidence	meter_margin	verifier_valid	n_lines	seesa_tail	seesa_tail_abbr
pdy-Aandhranaayaka-005	శ్రీకాకుళము భక్తలోక చింతామణి- శ్రీకాకుళము సుకృతాకరంబు\nశ్రీకాకుళము ధరాలోక వైకుంఠంబు- శ్రీకాకుళము మర్త్యసేవితంబు\nశ్రీకాకుళము వేదసిద్ధాంత మహిమంబు- శ్రీకాకుళము హతవ్యాకులంబు\nశ్రీకాకుళము మహాక్షేత్రావతంసంబు- శ్రీకాకుళము సర్వసిద్ధికరము	seesamu	upajaathi	కాసుల పురుషోత్తమకవి	bhakti	Aandhranaayaka	ఆంధ్రనాయక శతకము	site			true	4	తెలియ శ్రీకాకుళంబు నీ దివ్యదేశ-మాంధ్రనాయక నీవె శ్రీహరివి నిజము\nచిత్ర చిత్ర ప్రభావ దాక్షిణ్యభావ-హత విమతజీవ శ్రీకాకుళాంధ్రదేవ!	తే.
pdy-Aandhranaayaka-008	వరమిచ్చినట్టి శంకరుని కెగ్గు దలంచు- భస్మాసురుని పేరుఁ బాపినావు\nతనయిల్లుఁ గాచు నుగ్రుని బోరుటకుఁ బిల్చు- బాణుచేతులు తెగఁ బఱికినావు\nతొలుమిన్కు లజుని మ్రుచ్చిలి గొన్న సోమకుఁ- జంపి విద్యలు ధాత కంపినావు\nబలిమి దైత్యులు సుధాకలశము న్గొన వారి- వంచించి సురలకుఁ బంచినావు	seesamu	upajaathi	కాసుల పురుషోత్తమకవి	bhakti	Aandhranaayaka	ఆంధ్రనాయక శతకము	site			true	4	నిఖిలదైవత కార్యముల్‌ నిర్వహించు-నీకు నిజకార్యము భరంబె నిర్వహింప!\nచిత్ర చిత్ర ప్రభావ దాక్షిణ్యభావ-హత విమతజీవ శ్రీకాకుళాంధ్రదేవ!	తే.
pdy-Aandhranaayaka-013	మానితంబుగ గరుత్మద్ధ్వజారోహణం- బెప్పుడొనర్తువో చెప్పుమయ్య!\nగరిమతో నీ తిరుక్కల్యాణసంభ్రమం- బెప్పు డెప్పుడొ వేగ చెప్పు మయ్య\nరమతో మహోన్నతరథ మెక్కి తిరువీథు- లెప్పు డేతెంతువో చెప్పు మయ్య\nధరణి నభ్యాగతదాన ప్రజాబృంద- మెప్పుడు బలియునో చెప్పు మయ్య	seesamu	upajaathi	కాసుల పురుషోత్తమకవి	bhakti	Aandhranaayaka	ఆంధ్రనాయక శతకము	site			true	4	వత్సరోత్సవ వీక్షణవాంఛ జనుల-కెపుడు ఫలియించునో యానతీయు మయ్య\nచిత్ర చిత్ర ప్రభావ దాక్షిణ్యభావ-హత విమతజీవ శ్రీకాకుళాంధ్రదేవ!	తే.
pdy-Aandhranaayaka-018	అబ్బుకో గలవొ కాయక్లేశ మొనరించుఁ- దేవాసురు లటుండ దివ్యరమను\nదోచుకోఁ గలవొ చే సాచి లోకము లాచి- బలిమహాదాత వైభవము లెల్ల\nరాఁ దీయఁగలవొ సత్రాజిత్తుఁ డీకున్న- మణిశమంతక మొక మమతఁ గొల్పి\nనాటించఁ గలవొ సన్న కసన్ననె వనంబు- పెట్టు మ్రాన్పెకలించి పెరటిలోనఁ	seesamu	upajaathi	కాసుల పురుషోత్తమకవి	bhakti	Aandhranaayaka	ఆంధ్రనాయక శతకము	site			true	4	దెచ్చుకొన వేమి వస్త్రాన్నదీపధూప-గంధ తాంబూలములకైన గడన దెలిసె\nచిత్ర చిత్ర ప్రభావ దాక్షిణ్యభావ-హత విమతజీవ శ్రీకాకుళాంధ్రదేవ!	తే.
pdy-Aandhranaayaka-020	కన్నవారల మున్ను గారాగృహంబున- విడిచి పాఱితివి నీ కడిమి యేమి?\nపగవాఁడు పురిటిలోఁ బట్టి నెత్తుకపోవఁ- దమకించుచున్న నీ ధైర్య మేమి?\nముద్దుమన్మని గోప్యముగ నొండు బంధింపఁ- దెలియన ట్లున్న నీ తెగువ యేమి?\nవైరిధాటికి నోడి వనధి మధ్యమునందు- నిలు గట్టుకొన్న నీ బలిమి యేమి?	seesamu	upajaathi	కాసుల పురుషోత్తమకవి	bhakti	Aandhranaayaka	ఆంధ్రనాయక శతకము	site			true	4	విఱిగి తిరి గెన్నఁడెన్నఁడో తఱి యెఱింగి-యొరుల నడఁచితి వది యేమి భరము నీకు?\nచిత్ర చిత్ర ప్రభావ దాక్షిణ్యభావ-హత విమతజీవ శ్రీకాకుళాంధ్రదేవ!	తే.
pdy-Aandhranaayaka-022	విమతభూపతు లెట్లు విముఖులై పాఱిరో- రాజపీఠం బెక్కరాని నీకు\nకుంభినీధవు లెట్లు కూఁతుండ్ర నిచ్చిరో- కుల మొల్లకయె నీకు గోపకునకు\nసుందరీమణు లెట్లు చూచి మోహించిరో- క ప్పగు మైచాయ గలుగునీకు\nదాసజనం బెట్లు దాస్యంబు సలిపిరో- తిరియువానిని మారు తిరియు నీకు	seesamu	upajaathi	కాసుల పురుషోత్తమకవి	bhakti	Aandhranaayaka	ఆంధ్రనాయక శతకము	site			true	4	మమత నీలీల లటు సూచి బ్రమసి రేమె-తగుదువే యిట్టిఘనతకు దంభభూప\nచిత్ర చిత్ర ప్రభావ దాక్షిణ్యభావ-హత విమతజీవ శ్రీకాకుళాంధ్రదేవ!	తే.
pdy-Aandhranaayaka-025	వ్రేపల్లెలో గొల్లవెలఁదులు గొట్ట రా- దొడిదొడి యిల్లిల్లుఁ దూఱలేదొ\nరాసకేళికయందు రమణులా యెందఱో- చుట్టి పట్టినఁ బాఱఁ జూడలేదొ\nపదియాఱు వేల గోపకుమారికలు తేరి- పాఱఁ జూచిన మతి బ్రమయలేదొ\nప్రణయవాదంబున భార్య లా యెనమండ్రు- గసరివేసినఁ గూర్మిఁ గొసరలేదొ	seesamu	upajaathi	కాసుల పురుషోత్తమకవి	bhakti	Aandhranaayaka	ఆంధ్రనాయక శతకము	site			true	4	తలిరుబోఁ డుల యెదుటఁ దత్తరము గలుగ-నేవు పరరాజముఖమున నిలువ గలవె\nచిత్ర చిత్ర ప్రభావ దాక్షిణ్యభావ-హత విమతజీవ శ్రీకాకుళాంధ్రదేవ!	తే.
pdy-Aandhranaayaka-031	దూడలలోఁ బెరదూడ మేయఁగఁజూచి- యట్టె పట్టుక చావఁగొట్టవలెనె\nపొడవ రా వేగ నాబోఁతుకొమ్ములు పట్టి- విడువక దానిపే రుడుపవలెనె\nముక్కుతోఁ జెనకిన కొక్కెరాయనిఁ బట్టి- వెర వొప్పఁగా మెడ విఱువవలెనె\nతన్నుఁ బో తని మృగాధమ మంచు నెంచక- తొడరి గార్ధభమును ద్రుంపవలెనె	seesamu	upajaathi	కాసుల పురుషోత్తమకవి	bhakti	Aandhranaayaka	ఆంధ్రనాయక శతకము	site			true	4	మేమి ఘనకార్యములు చేసి తిద్ధరిత్రి-నెన్నటికి నీ వొనర్చిన విట్టిపనులె\nచిత్ర చిత్ర ప్రభావ దాక్షిణ్యభావ-హత విమతజీవ శ్రీకాకుళాంధ్రదేవ!	తే.
pdy-Aandhranaayaka-035	రాజు లెవ్వరుఁ బఙ్క్తిభోజన మిడకున్న- దాసునింట భుజించి తనియలేదొ?\nబంధువు లెవ్వరు గంధ మీ కుండిన- మువ్వంకలది పూయ మురియలేదొ?\nదొర లెవ్వరును బూలసరము లీకుండినఁ- దెలిసి మాలికుఁ డీగ నలరలేదొ?\nప్రభువు లెవ్వరు వస్త్రబహుమాన మీ కున్నఁ- దెచ్చి యిచ్చిన చాకి మెచ్చలేదొ?	seesamu	upajaathi	కాసుల పురుషోత్తమకవి	bhakti	Aandhranaayaka	ఆంధ్రనాయక శతకము	site			true	4	పాటి సేయంగ నేరాజు బంధుగుఁడవొ?-మున్నె నీపస దెలిసిన దెన్న నేమి?\nచిత్ర చిత్ర ప్రభావ దాక్షిణ్యభావ-హత విమతజీవ శ్రీకాకుళాంధ్రదేవ!	తే.
pdy-Aandhranaayaka-038	బొచ్చెచేఁపకు నైన మచ్చరం బున్నది- తాఁబేటి కైన సత్త్వంబు గలదు\nడీకొన్న నడవిపందికిఁ గల్గు రోసంబు- తెరనోటినరుఁడైనఁ దెగువ సేయుఁ\nబొట్టివానికి నైన దిట్టతనం బుండు- బాపని కైన దర్పంబు గలదు\nచుంచురాజున కైన శూరత్వ మున్నది- ముసలికి నైనఁ జేపుష్టి గలదు	seesamu	upajaathi	కాసుల పురుషోత్తమకవి	bhakti	Aandhranaayaka	ఆంధ్రనాయక శతకము	site			true	4	సిద్ధ మాభీరుఁడవు నీవె బుద్ధి నెంచఁ-గలికి వై యేమి సేయఁ గలవొ కాని\nచిత్ర చిత్ర ప్రభావ దాక్షిణ్యభావ-హత విమతజీవ శ్రీకాకుళాంధ్రదేవ!	తే.
