id	task	meter	genre	theme	addressee	makuta_hint
pdy-gt-vutpalamaala-00	generate_theme	vutpalamaala	niti	the danger of bad company		false
pdy-gt-vutpalamaala-01	generate_theme	vutpalamaala	niti	giving without expecting return		false
pdy-gt-vutpalamaala-02	generate_theme	vutpalamaala	niti	pride in one's own cleverness		false
pdy-gt-vutpalamaala-03	generate_theme	vutpalamaala	niti	respect for elders and teachers		false
pdy-gt-vutpalamaala-04	generate_theme	vutpalamaala	niti	the value of learning		false
pdy-gt-vutpalamaala-05	generate_theme	vutpalamaala	niti	humility despite wealth		false
pdy-gt-vutpalamaala-06	generate_theme	vutpalamaala	niti	wealth passes, character stays		false
pdy-gt-vutpalamaala-07	generate_theme	vutpalamaala	niti	patience under provocation		false
pdy-gt-vutpalamaala-08	generate_theme	vutpalamaala	niti	controlling anger		false
pdy-gt-vutpalamaala-09	generate_theme	vutpalamaala	niti	truthfulness even when it is costly		false
pdy-gt-vutpalamaala-10	generate_theme	vutpalamaala	niti	keeping one's word		false
pdy-gt-vutpalamaala-11	generate_theme	vutpalamaala	niti	true friends versus flatterers		false
pdy-gt-champakamaala-00	generate_theme	champakamaala	niti	respect for elders and teachers		false
pdy-gt-champakamaala-01	generate_theme	champakamaala	niti	truthfulness even when it is costly		false
pdy-gt-champakamaala-02	generate_theme	champakamaala	niti	wealth passes, character stays		false
pdy-gt-champakamaala-03	generate_theme	champakamaala	niti	patience under provocation		false
pdy-gt-champakamaala-04	generate_theme	champakamaala	niti	true friends versus flatterers		false
pdy-gt-champakamaala-05	generate_theme	champakamaala	niti	keeping one's word		false
pdy-gt-champakamaala-06	generate_theme	champakamaala	niti	giving without expecting return		false
pdy-gt-champakamaala-07	generate_theme	champakamaala	niti	the danger of bad company		false
pdy-gt-champakamaala-08	generate_theme	champakamaala	niti	the value of learning		false
pdy-gt-champakamaala-09	generate_theme	champakamaala	niti	controlling anger		false
pdy-gt-champakamaala-10	generate_theme	champakamaala	niti	humility despite wealth		false
pdy-gt-champakamaala-11	generate_theme	champakamaala	niti	pride in one's own cleverness		false
pdy-gt-saardulamu-00	generate_theme	saardulamu	niti	truthfulness even when it is costly		false
pdy-gt-saardulamu-01	generate_theme	saardulamu	niti	giving without expecting return		false
pdy-gt-saardulamu-02	generate_theme	saardulamu	niti	controlling anger		false
pdy-gt-saardulamu-03	generate_theme	saardulamu	niti	pride in one's own cleverness		false
pdy-gt-saardulamu-04	generate_theme	saardulamu	niti	true friends versus flatterers		false
pdy-gt-saardulamu-05	generate_theme	saardulamu	niti	wealth passes, character stays		false
pdy-gt-saardulamu-06	generate_theme	saardulamu	niti	humility despite wealth		false
pdy-gt-saardulamu-07	generate_theme	saardulamu	niti	the value of learning		false
pdy-gt-saardulamu-08	generate_theme	saardulamu	niti	patience under provocation		false
pdy-gt-saardulamu-09	generate_theme	saardulamu	niti	respect for elders and teachers		false
pdy-gt-saardulamu-10	generate_theme	saardulamu	niti	the danger of bad company		false
pdy-gt-saardulamu-11	generate_theme	saardulamu	niti	keeping one's word		false
pdy-gt-mattebhamu-00	generate_theme	mattebhamu	niti	giving without expecting return		false
pdy-gt-mattebhamu-01	generate_theme	mattebhamu	niti	the danger of bad company		false
pdy-gt-mattebhamu-02	generate_theme	mattebhamu	niti	humility despite wealth		false
pdy-gt-mattebhamu-03	generate_theme	mattebhamu	niti	true friends versus flatterers		false
pdy-gt-mattebhamu-04	generate_theme	mattebhamu	niti	wealth passes, character stays		false
pdy-gt-mattebhamu-05	generate_theme	mattebhamu	niti	respect for elders and teachers		false
pdy-gt-mattebhamu-06	generate_theme	mattebhamu	niti	keeping one's word		false
pdy-gt-mattebhamu-07	generate_theme	mattebhamu	niti	the value of learning		false
pdy-gt-mattebhamu-08	generate_theme	mattebhamu	niti	truthfulness even when it is costly		false
pdy-gt-mattebhamu-09	generate_theme	mattebhamu	niti	controlling anger		false
pdy-gt-mattebhamu-10	generate_theme	mattebhamu	niti	pride in one's own cleverness		false
pdy-gt-mattebhamu-11	generate_theme	mattebhamu	niti	patience under provocation		false
pdy-gt-kandamu-00	generate_theme	kandamu	niti	truthfulness even when it is costly		false
pdy-gt-kandamu-01	generate_theme	kandamu	niti	patience under provocation		false
pdy-gt-kandamu-02	generate_theme	kandamu	niti	humility despite wealth		false
pdy-gt-kandamu-03	generate_theme	kandamu	niti	true friends versus flatterers		false
pdy-gt-kandamu-04	generate_theme	kandamu	niti	giving without expecting return		false
pdy-gt-kandamu-05	generate_theme	kandamu	niti	pride in one's own cleverness		false
pdy-gt-kandamu-06	generate_theme	kandamu	niti	controlling anger		false
