padyam_id	meter	meter_class	satakam	split	input	input_valid	reference	violated	violated_raw	edit.pos	edit.old	edit.new	edit.direction	edit.line	edit.akshara	edit.word	edit.attested	violation.paada	violation.gana	violation.akshara	violation.observed	violation.aksharas	id	edit	violation
pdy-seesamu-0005	seesamu	upajaathi	""	test	శ్రీకాకూళము భక్తలోక చింతామణి- శ్రీకాకుళము సుకృతాకరంబు\nశ్రీకాకుళము ధరాలోక వైకుంఠంబు- శ్రీకాకుళము మర్త్యసేవితంబు\nశ్రీకాకుళము వేదసిద్ధాంత మహిమంబు- శ్రీకాకుళము హతవ్యాకులంబు\nశ్రీకాకుళము మహాక్షేత్రావతంసంబు- శ్రీకాకుళము సర్వసిద్ధికరము	false	శ్రీకాకుళము భక్తలోక చింతామణి- శ్రీకాకుళము సుకృతాకరంబు\nశ్రీకాకుళము ధరాలోక వైకుంఠంబు- శ్రీకాకుళము మర్త్యసేవితంబు\nశ్రీకాకుళము వేదసిద్ధాంత మహిమంబు- శ్రీకాకుళము హతవ్యాకులంబు\nశ్రీకాకుళము మహాక్షేత్రావతంసంబు- శ్రీకాకుళము సర్వసిద్ధికరము	["card","seq"]	["card","corr","seq"]	7	ు	ూ	lengthen	0	2	శ్రీకాకూళము	false	0	0	0	UUU|	["శ్రీ","కా","కూ","ళ"]	pdy-r-00000		
pdy-seesamu-0008	seesamu	upajaathi	""	test	వరమిచ్చినట్టి శంకరుని కెగ్గు దలంచు- భస్మాసురుని పేరుఁ బాపినావు\nతనయిల్లుఁ గాచు నుగ్రుని బోరుటకూఁ బిల్చు- బాణుచేతులు తెగఁ బఱికినావు\nతొలుమిన్కు లజుని మ్రుచ్చిలి గొన్న సోమకుఁ- జంపి విద్యలు ధాత కంపినావు\nబలిమి దైత్యులు సుధాకలశము న్గొన వారి- వంచించి సురలకుఁ బంచినావు	false	వరమిచ్చినట్టి శంకరుని కెగ్గు దలంచు- భస్మాసురుని పేరుఁ బాపినావు\nతనయిల్లుఁ గాచు నుగ్రుని బోరుటకుఁ బిల్చు- బాణుచేతులు తెగఁ బఱికినావు\nతొలుమిన్కు లజుని మ్రుచ్చిలి గొన్న సోమకుఁ- జంపి విద్యలు ధాత కంపినావు\nబలిమి దైత్యులు సుధాకలశము న్గొన వారి- వంచించి సురలకుఁ బంచినావు	["seq"]	["seq"]	93	ు	ూ	lengthen	1	12	బోరుటకూఁ	false	2	3	37	|UU|	["ట","కూ","బి","ల్చు"]	pdy-r-00001		
pdy-seesamu-0018	seesamu	upajaathi	""	train	అబ్బుకో గలవొ కాయక్లేశ మొనరించుఁ- దేవాసురు లటుండ దివ్యరమను\nదోచుకోఁ గలవొ చే సాచీ లోకము లాచి- బలిమహాదాత వైభవము లెల్ల\nరాఁ దీయఁగలవొ సత్రాజిత్తుఁ డీకున్న- మణిశమంతక మొక మమతఁ గొల్పి\nనాటించఁ గలవొ సన్న కసన్ననె వనంబు- పెట్టు మ్రాన్పెకలించి పెరటిలోనఁ	false	అబ్బుకో గలవొ కాయక్లేశ మొనరించుఁ- దేవాసురు లటుండ దివ్యరమను\nదోచుకోఁ గలవొ చే సాచి లోకము లాచి- బలిమహాదాత వైభవము లెల్ల\nరాఁ దీయఁగలవొ సత్రాజిత్తుఁ డీకున్న- మణిశమంతక మొక మమతఁ గొల్పి\nనాటించఁ గలవొ సన్న కసన్ననె వనంబు- పెట్టు మ్రాన్పెకలించి పెరటిలోనఁ	["seq"]	["corr","seq"]	77	ి	ీ	lengthen	1	8	సాచీ	false	2	2	33	UUU|	["సా","చీ","లో","క"]	pdy-r-00002		
pdy-seesamu-0025	seesamu	upajaathi	""	dev	వ్రేపల్లెలో గొల్లవెలఁదులు గొట్ట రా- దొడిదొడి యిల్లిల్లుఁ దూఱలేదొ\nరాసకేళికయందు రమణులా యెందఱో- చుట్టి పట్టినఁ బాఱఁ జూడలేదొ\nపదియాఱు వెల గోపకుమారికలు తేరి- పాఱఁ జూచిన మతి బ్రమయలేదొ\nప్రణయవాదంబున భార్య లా యెనమండ్రు- గసరివేసినఁ గూర్మిఁ గొసరలేదొ	false	వ్రేపల్లెలో గొల్లవెలఁదులు గొట్ట రా- దొడిదొడి యిల్లిల్లుఁ దూఱలేదొ\nరాసకేళికయందు రమణులా యెందఱో- చుట్టి పట్టినఁ బాఱఁ జూడలేదొ\nపదియాఱు వేల గోపకుమారికలు తేరి- పాఱఁ జూచిన మతి బ్రమయలేదొ\nప్రణయవాదంబున భార్య లా యెనమండ్రు- గసరివేసినఁ గూర్మిఁ గొసరలేదొ	["seq"]	["corr","seq"]	130	ే	ె	shorten	2	4	వెల	true	4	2	57	|U||	["కు","మా","రి","క"]	pdy-r-00003		
pdy-seesamu-0031	seesamu	upajaathi	""	test	దూడలలోఁ బెరదుడ మేయఁగఁజూచి- యట్టె పట్టుక చావఁగొట్టవలెనె\nపొడవ రా వేగ నాబోఁతుకొమ్ములు పట్టి- విడువక దానిపే రుడుపవలెనె\nముక్కుతోఁ జెనకిన కొక్కెరాయనిఁ బట్టి- వెర వొప్పఁగా మెడ విఱువవలెనె\nతన్నుఁ బో తని మృగాధమ మంచు నెంచక- తొడరి గార్ధభమును ద్రుంపవలెనె	false	దూడలలోఁ బెరదూడ మేయఁగఁజూచి- యట్టె పట్టుక చావఁగొట్టవలెనె\nపొడవ రా వేగ నాబోఁతుకొమ్ములు పట్టి- విడువక దానిపే రుడుపవలెనె\nముక్కుతోఁ జెనకిన కొక్కెరాయనిఁ బట్టి- వెర వొప్పఁగా మెడ విఱువవలెనె\nతన్నుఁ బో తని మృగాధమ మంచు నెంచక- తొడరి గార్ధభమును ద్రుంపవలెనె	["seq"]	["corr","seq"]	12	ూ	ు	shorten	0	6	బెరదుడ	false	0	3	10	|U|U	["గ","జూ","చి","య"]	pdy-r-00004		
pdy-seesamu-0035	seesamu	upajaathi	""	train	రాజు లెవ్వరుఁ బఙ్క్తిభోజన మిడకున్న- దాసునింట భుజించి తనియలేదొ?\nబంధువు లెవ్వరు గంధ మీ కుండిన- మువ్వంకలది పూయ మురియలేదొ?\nదొర లెవ్వరును బూలసరము లీకుండినఁ- దెలిసి మాలికుఁ డీగ నలరలేదొ?\nప్రభువు లెవ్వరు వస్త్రబహుమాన మీ కున్నఁ- దెచ్చి యిచ్చిన చాకీ మెచ్చలేదొ?	false	రాజు లెవ్వరుఁ బఙ్క్తిభోజన మిడకున్న- దాసునింట భుజించి తనియలేదొ?\nబంధువు లెవ్వరు గంధ మీ కుండిన- మువ్వంకలది పూయ మురియలేదొ?\nదొర లెవ్వరును బూలసరము లీకుండినఁ- దెలిసి మాలికుఁ డీగ నలరలేదొ?\nప్రభువు లెవ్వరు వస్త్రబహుమాన మీ కున్నఁ- దెచ్చి యిచ్చిన చాకి మెచ్చలేదొ?	["seq"]	["seq"]	238	ి	ీ	lengthen	3	21	చాకీ	false	7	1	96	||UU	["చ్చి","న","చా","కీ"]	pdy-r-00005		
pdy-seesamu-0038	seesamu	upajaathi	""	train	బొచ్చెచేఁపకు నైన మచ్చరం బున్నది- తాఁబేటి కైన సత్త్వంబు గలదు\nడీకొన్న నడవిపందికిఁ గల్గు రోసంబు- తెరనోటినరుఁడైనఁ దెగువ సేయుఁ\nబొట్టీవానికి నైన దిట్టతనం బుండు- బాపని కైన దర్పంబు గలదు\nచుంచురాజున కైన శూరత్వ మున్నది- ముసలికి నైనఁ జేపుష్టి గలదు	false	బొచ్చెచేఁపకు నైన మచ్చరం బున్నది- తాఁబేటి కైన సత్త్వంబు గలదు\nడీకొన్న నడవిపందికిఁ గల్గు రోసంబు- తెరనోటినరుఁడైనఁ దెగువ సేయుఁ\nబొట్టివానికి నైన దిట్టతనం బుండు- బాపని కైన దర్పంబు గలదు\nచుంచురాజున కైన శూరత్వ మున్నది- ముసలికి నైనఁ జేపుష్టి గలదు	["seq"]	["corr","seq"]	127	ి	ీ	lengthen	2	1	బొట్టీవానికి	false	4	0	51	UUU|	["బొ","ట్టీ","వా","ని"]	pdy-r-00006		
pdy-seesamu-0043	seesamu	upajaathi	""	train	పక్షంబు గల దండ్రు పాండుపుత్రులయందు- పాండవుల్‌ పడినట్టి పాటులేమి!\nపూర్వజన్మమునందుఁ బూజించె గజ మండ్రు- గజరాజు పొందిన గాసి యేమీ!\nయల కుచేలునకు బాల్యస్నేహితుఁడ వండ్రు- నెఱిఁ గుచేలుఁడు పడ్డనెవ్వ లేమి!\nప్రహ్లాదుఁ డాజన్మభక్తియుక్తుం డండ్రు- ప్రహ్లాదుఁ డొందిన బాధ లేమి!	false	పక్షంబు గల దండ్రు పాండుపుత్రులయందు- పాండవుల్‌ పడినట్టి పాటులేమి!\nపూర్వజన్మమునందుఁ బూజించె గజ మండ్రు- గజరాజు పొందిన గాసి యేమి!\nయల కుచేలునకు బాల్యస్నేహితుఁడ వండ్రు- నెఱిఁ గుచేలుఁడు పడ్డనెవ్వ లేమి!\nప్రహ్లాదుఁ డాజన్మభక్తియుక్తుం డండ్రు- ప్రహ్లాదుఁ డొందిన బాధ లేమి!	["seq"]	["corr","seq"]	123	ి	ీ	lengthen	1	24	యేమీ	true	3	3	48	UU|	["యే","మీ","య"]	pdy-r-00007		
pdy-seesamu-0049	seesamu	upajaathi	""	dev	నమ్ముదు రేరీతి నారదు నాత్మజు- మానిని జేసిన మాయవానిఁ?\nదలఁతు రేరీతి నల్‌దలలదయము నోలి- బొడ్డుదమ్మినిఁ గన్న పురుషమణిని?\nభూషింతు రేరీతి పుష్పబాణవిరోధి- విషయభ్రమితుఁ జేయు వేసగానీ?\nభాషింతు రేరీతి బ్రహ్మాదిమశకప- ర్యంతంబు గలిగిన వింతవాని?	false	నమ్ముదు రేరీతి నారదు నాత్మజు- మానిని జేసిన మాయవానిఁ?\nదలఁతు రేరీతి నల్‌దలలదయము నోలి- బొడ్డుదమ్మినిఁ గన్న పురుషమణిని?\nభూషింతు రేరీతి పుష్పబాణవిరోధి- విషయభ్రమితుఁ జేయు వేసగాని?\nభాషింతు రేరీతి బ్రహ్మాదిమశకప- ర్యంతంబు గలిగిన వింతవాని?	["seq"]	["corr","seq"]	171	ి	ీ	lengthen	2	24	వేసగానీ	false	5	3	73	UUU	["గా","నీ","భా"]	pdy-r-00008		
pdy-seesamu-0061	seesamu	upajaathi	""	train	ఉక్కునఁ బసిఁడికన్‌ రక్కసుఁ డొకఁడు ప- ల్దిక్కు లోరిచి బొల్లిపక్కి మావు\nనెక్కు రౌ తెక్కడఁ జిక్కెడు నంచు నీ- యిక్కువ లరయంగఁ గిక్కురించి\nనక్కితి విలక్రిందఁ జొక్కపుఁ బంది వై- కొక్కరింపుచు నాతఁ డక్కడికినీ\nమొక్కరింపఁగఁ జొరఁ బొక్కతే కట వాని- డొక్కగఱుక్కునఁ జెక్కిపట్టి	false	ఉక్కునఁ బసిఁడికన్‌ రక్కసుఁ డొకఁడు ప- ల్దిక్కు లోరిచి బొల్లిపక్కి మావు\nనెక్కు రౌ తెక్కడఁ జిక్కెడు నంచు నీ- యిక్కువ లరయంగఁ గిక్కురించి\nనక్కితి విలక్రిందఁ జొక్కపుఁ బంది వై- కొక్కరింపుచు నాతఁ డక్కడికిని\nమొక్కరింపఁగఁ జొరఁ బొక్కతే కట వాని- డొక్కగఱుక్కునఁ జెక్కిపట్టి	["seq"]	["seq"]	197	ి	ీ	lengthen	2	24	డక్కడికినీ	false	5	3	70	||U	["డి","కి","నీ"]	pdy-r-00009		
