padyam_text	padyam_type
"శ్రీమదనంత లక్ష్మీ యుతోరః స్థల- చతురాననాండ పూరిత పిచండ
ధర చక్ర ఖడ్గ గదా శరాసనహస్త- నిఖిల వేదాంత వర్ణిత చరిత్ర
సకల పావన నదీ జనక పాదాంభోజ- దమణీయ ఖగకులోత్తమ తురంగ
మణి సౌధవ త్ఫణామండ లోరగతల్ప- వరకల్పకోద్యాన వన విహార"	seesamu
"భాను సితభాను నేత్ర సౌభాగ్యగాత్ర-యోగిహృద్గేయ భవనైక భాగధేయ
చిత్ర చిత్ర ప్రభావ దాక్షిణ్యభావ-హత విమతజీవ శ్రీకాకుళాంధ్రదేవ!"	teytageethi
"వైజయంతీధామ వర్ణిత సుత్రామ- శోభననామ లోకాభిరామ
కువలయశ్యామ వికుంఠపట్టణధామ- శ్రుతిహితనామ దైవతలలామ
కృత్యదైత్య సంగ్రామ గీతార్థ పరిణామ- యదుకులాంబుధిసోమ అఘవిరామ
సంగర జిత భౌమ రంగద్గుణస్తోమ- త్రిభువన క్షేమ వర్ధిష్ణుకామ"	seesamu
"దాసులము గామ? నీ పేరు దలఁచుకోమ?-కొసరితిమి ప్రేమ కోరిన కోర్కు లీవ?
చిత్ర చిత్ర ప్రభావ దాక్షిణ్యభావ-హత విమతజీవ శ్రీకాకుళాంధ్రదేవ!"	teytageethi
"మానుషహర్యక్ష మార్తాండ సోమాక్ష- త్రిభువనాధ్యక్ష కౌంతేయపక్ష
మదనకోటివిలాస మంజుల దరహాస- శ్రీహృన్నివాస కౌశేయవాస
శార్ఙ్గకోదండ పిచండ భృతాజాండ- వినుతవేదండ రవిప్రచండ
దీనశరణ్య విద్విట్భేద నైపుణ్య- భక్తానుగణ్య దిక్ప్రభువరేణ్య"	seesamu
"సిద్ధసంకల్ప అవికల్ప శేషతల్ప-నిష్కలంక నిరాతంక నిరుపమాంక
చిత్ర చిత్ర ప్రభావ దాక్షిణ్యభావ-హత విమతజీవ శ్రీకాకుళాంధ్రదేవ!"	teytageethi
"గోవింద ముచికుంద సేవిత పాదార- వింద నిత్యానంద విశ్వతుంద
శ్రీమంత విజయలక్ష్మీకాంత నిర్మల- స్వాంత భక్తోద్యాన వనవసంత
అఘనాశ కోటిసూర్యప్రకాశ వరేశ- విజితాశ సన్మనోంబుజ నివేశ
సద్గుణ గేహ వాసవనీల సమదేహ- బంధురోత్సాహ సువర్ణవాహ"	seesamu
"పండితస్తోత్ర చారిత్ర పద్మనేత్ర-మధుర మంజులభాష సమస్తపోష
చిత్ర చిత్ర ప్రభావ దాక్షిణ్యభావ-హత విమతజీవ శ్రీకాకుళాంధ్రదేవ!"	teytageethi
"శ్రీకాకుళము భక్తలోక చింతామణి- శ్రీకాకుళము సుకృతాకరంబు
శ్రీకాకుళము ధరాలోక వైకుంఠంబు- శ్రీకాకుళము మర్త్యసేవితంబు
శ్రీకాకుళము వేదసిద్ధాంత మహిమంబు- శ్రీకాకుళము హతవ్యాకులంబు
శ్రీకాకుళము మహాక్షేత్రావతంసంబు- శ్రీకాకుళము సర్వసిద్ధికరము"	seesamu
"తెలియ శ్రీకాకుళంబు నీ దివ్యదేశ-మాంధ్రనాయక నీవె శ్రీహరివి నిజము
చిత్ర చిత్ర ప్రభావ దాక్షిణ్యభావ-హత విమతజీవ శ్రీకాకుళాంధ్రదేవ!"	teytageethi
