title_te	satakam	author_te	genre	include	note
దాశరథి శతకము	Daasarathi	కంచెర్ల గోపన్న	bhakti	yes	
కృష్ణ శతకము	Krishna	నృసింహ కవి	bhakti	yes	
శ్రీ కాళహస్తీశ్వర శతకము	Srikaalahasteeswara	ధూర్జటి	bhakti	yes	
సుమతి శతకము	Sumathi	బద్దెన	niti	yes	
వృషాధిప శతకము	Vrushadhipa	పాలకురికి సోమనాథుడు	bhakti	yes	
నరసింహ శతకము	Narasimha	శేషప్ప కవి	bhakti	yes	
ఆంధ్రనాయక శతకము	Aandhranaayaka	కాసుల పురుషోత్తమకవి	bhakti	yes	
మారుతి శతకము	Maaruti	గోపీనాథము వేంకటకవి	bhakti	yes	
భాస్కర శతకము	Bhaskara	మారవి వెంకయ్య	niti	yes	
నారాయణ శతకము	Naaraayana	బమ్మెర పోతన	bhakti	yes	
దేవకీనందన శతకము	Devakinandana	వెన్నెలకంటి జన్నయ్య	bhakti	yes	
చెన్నమల్లు సీసములు	Chennamallu	పాలకురికి సోమనాథుడు	bhakti	yes	
గువ్వలచెన్న శతకము	Guvvalachenna	(missing on site)	niti	yes	author not listed on site; genre to confirm
కుప్పుసామి శతకము	Kuppusaami	త్రిపురనేని రామస్వామి	social	yes	20th c. author (d. 1943); confirm public domain
ధూర్తమానవా శతకము	Dhoortamaanavaa	త్రిపురనేని రామస్వామి	social	yes	20th c. author (d. 1943); confirm public domain
సంపఁగిమన్న శతకము	Sampangimanna	పరమానంద యతీంద్ర	bhakti	yes	genre to confirm
కుమార శతకము	Kumaara	ఫక్కి వేంకట నరసింహ కవి	niti	yes	
వేంకటేశ శతకము	Venkatesa	తాళ్ళపాక పెదతిరుమలార్య	bhakti	yes	
శ్రీ (అలమేలుమంగా) వేంకటేశ్వర శతకము	Venkateswara	తాళ్లపాక అన్నమాచార్య	bhakti	yes	
వేమన పద్యములు	Vemana	వేమన	niti	yes	some pages return 401: skip, do not log in
సూర్య శతకమ్	Surya_Mayura	మయూరకవి	bhakti	no	Sanskrit work: not Telugu meters
నీతి శతకమ్	Bhartrhari_Niti	భర్తృహరి	niti	no	Sanskrit work
శృంగార శతకమ్	Bhartrhari_Srngara	భర్తృహరి	srngara	no	Sanskrit work
వైరాగ్య శతకమ్	Bhartrhari_Vairagya	భర్తృహరి	vairagya	no	Sanskrit work
మంచి మాట వినర మానవుండ!	ManchiMaata	శ్రీమతి భమిడి కామేశ్వరమ్మ	niti	no	modern author: copyright unclear
సూర్య శతకము	Surya_Dasu	దాసు శ్రీరాములు	bhakti	yes	author d. 1908
సదానందయోగి శతకము	Sadaanandayogi	సదానందయోగి	vairagya	yes	genre to confirm
శివముకుంద శతకము	Sivamukunda	పరమానంద యతీంద్ర	bhakti	yes	
కుమారీ శతకము	Kumaari	ఫక్కి వేంకట నరసింహ కవి	niti	yes	
మృత్యుంజయం	Mrutyunjayam	మాధవపెద్ది బుచ్చిసుందరరామశాస్త్రి	bhakti	no	20th c. author: confirm dates/copyright; genre to confirm
ఒంటిమిట్ట రఘువీరశతకము	Ontimittaraguveera	అయ్యలరాజు త్రిపురాంతకకవి	bhakti	yes	
విశ్వనాథశతకము	Viswanaatha	అమలాపురము సన్యాసికవి	bhakti	yes	
వేణుగోపాలశతకము	Venugopaala	పోలిపెద్ది వేంకటరాయకవి	bhakti	yes	
లావణ్య(సీమ)శతకము	Laavanya	పోలిపెద్ది వేంకటరాయకవి	srngara	yes	genre to confirm
భర్గశతకము	Bharga	కూచిమంచి తిమ్మకవి	bhakti	yes	
కుక్కుటేశ్వరశతకము	Kukkuteswara	కూచిమంచి తిమ్మకవి	bhakti	yes	
చిరవిభవశతకము	Chiravibhava	కూచిమంచి తిమ్మకవి	bhakti	yes	
భక్తమందారశతకము	Bhaktamandaara	కూచిమంచి జగన్నాథకవి	bhakti	yes	
సర్వేశ్వరశతకము	Sarveswara	యథావాక్కుల అన్నమయ్య	bhakti	yes	
తాడిమళ్ళరాజగోపాలశతకము	Taadimallarajagopaala	(missing on site)	bhakti	yes	author not listed on site
కాంతాలలామశతకము	Kaantaalalaama	నృసింహాచార్య	srngara	yes	genre to confirm
చక్కట్లదండ	Chakkatladanda	దాసు శ్రీరాములు	other	yes	genre to confirm
సుందరీమణిశతకము	Sundariimani	గోగులపాటి కూర్మనాథకవి	srngara	yes	genre to confirm
మదనగోపాలశతకము	Madanagopala	చెంగల్వరాయఁడు	bhakti	yes	
కఱివేల్పుశతకము	Karivelpu	వైదర్సు అప్పయకవి	bhakti	yes	
మాతృశతకము	Maathru	మాతూరి అప్పావు మొదలారి	other	yes	mother/motherhood theme
